latitude,longitude,speed,timestamp,datetime
49.25485432272699,4.039321047843161,2.11 Mbps,1741850543,2025-03-13 08:22:23
49.25485659841526,4.039295286307073,2.06 Mbps,1741850544,2025-03-13 08:22:24
49.25485963733099,4.039244073486441,2.02 Mbps,1741850546,2025-03-13 08:22:26
49.25485975510467,4.03922316158324,2.66 Mbps,1741850547,2025-03-13 08:22:27
49.25485569057708,4.039203250585253,2.27 Mbps,1741850548,2025-03-13 08:22:28
49.254853590853855,4.0391809083527965,2.13 Mbps,1741850549,2025-03-13 08:22:29
49.25484819889521,4.039163117924679,2.01 Mbps,1741850550,2025-03-13 08:22:30
49.25484355081844,4.039144884345954,1.93 Mbps,1741850551,2025-03-13 08:22:31
49.25483662737369,4.039129394990304,2.09 Mbps,1741850552,2025-03-13 08:22:32
49.25483073011888,4.039110991981942,2.02 Mbps,1741850553,2025-03-13 08:22:33
49.254825586992204,4.0390916664679395,2.44 Mbps,1741850554,2025-03-13 08:22:34
49.254820267266055,4.039074621689527,2.35 Mbps,1741850555,2025-03-13 08:22:35
49.25481647005355,4.039058241414537,1.81 Mbps,1741850556,2025-03-13 08:22:36
49.25480797372447,4.039043578863894,2.32 Mbps,1741850557,2025-03-13 08:22:37
49.25480022467707,4.039029166281815,2.36 Mbps,1741850558,2025-03-13 08:22:38
49.25479577433448,4.039013527664042,2.05 Mbps,1741850559,2025-03-13 08:22:39
49.254798489342406,4.038993168423249,2.12 Mbps,1741850560,2025-03-13 08:22:40
49.254803038248404,4.039001846689767,2.02 Mbps,1741850561,2025-03-13 08:22:41
49.25481013717166,4.038968690247358,2.44 Mbps,1741850562,2025-03-13 08:22:42
49.25484985756612,4.0389526954178,2.54 Mbps,1741850563,2025-03-13 08:22:43
49.254846464288306,4.03894542672356,2.05 Mbps,1741850564,2025-03-13 08:22:44
49.25482028553244,4.038900099050279,2.17 Mbps,1741850565,2025-03-13 08:22:45
49.254845105307986,4.038876923052316,2.00 Mbps,1741850566,2025-03-13 08:22:46
49.25486749802036,4.038861566934963,2.43 Mbps,1741850567,2025-03-13 08:22:47
49.254896580696425,4.0388589981466865,2.33 Mbps,1741850568,2025-03-13 08:22:48
